python3: can't open file '/home/ubuntu/arcana-ecosystem/scripts/relay_provider.py': [Errno 2] No such file or directory
[Fri Jan 16 13:48:13 2026] RELAY_SYNC: 33392 Blocks | Depth: 5,008,800,000,000 ARC | Fees: 667.84 CC
[Fri Jan 16 13:48:23 2026] RELAY_SYNC: 33558 Blocks | Depth: 5,033,700,000,000 ARC | Fees: 671.16 CC
[Fri Jan 16 13:48:33 2026] RELAY_SYNC: 33718 Blocks | Depth: 5,057,700,000,000 ARC | Fees: 674.36 CC
[Fri Jan 16 13:48:43 2026] RELAY_SYNC: 33882 Blocks | Depth: 5,082,300,000,000 ARC | Fees: 677.64 CC
[Fri Jan 16 13:48:53 2026] RELAY_SYNC: 34044 Blocks | Depth: 5,106,600,000,000 ARC | Fees: 680.88 CC
[Fri Jan 16 13:49:03 2026] RELAY_SYNC: 34203 Blocks | Depth: 5,130,450,000,000 ARC | Fees: 684.06 CC
[Fri Jan 16 13:49:13 2026] RELAY_SYNC: 34369 Blocks | Depth: 5,155,350,000,000 ARC | Fees: 687.38 CC
[Fri Jan 16 13:49:23 2026] RELAY_SYNC: 34535 Blocks | Depth: 5,180,250,000,000 ARC | Fees: 690.70 CC
[Fri Jan 16 13:49:33 2026] RELAY_SYNC: 34700 Blocks | Depth: 5,205,000,000,000 ARC | Fees: 694.00 CC
[Fri Jan 16 13:49:43 2026] RELAY_SYNC: 34866 Blocks | Depth: 5,229,900,000,000 ARC | Fees: 697.32 CC
[Fri Jan 16 13:49:53 2026] RELAY_SYNC: 35031 Blocks | Depth: 5,254,650,000,000 ARC | Fees: 700.62 CC
[Fri Jan 16 13:50:03 2026] RELAY_SYNC: 35191 Blocks | Depth: 5,278,650,000,000 ARC | Fees: 703.82 CC
[Fri Jan 16 13:50:13 2026] RELAY_SYNC: 35353 Blocks | Depth: 5,302,950,000,000 ARC | Fees: 707.06 CC
[Fri Jan 16 13:50:23 2026] RELAY_SYNC: 35515 Blocks | Depth: 5,327,250,000,000 ARC | Fees: 710.30 CC
[Fri Jan 16 13:50:33 2026] RELAY_SYNC: 35675 Blocks | Depth: 5,351,250,000,000 ARC | Fees: 713.50 CC
[Fri Jan 16 13:50:43 2026] RELAY_SYNC: 35840 Blocks | Depth: 5,376,000,000,000 ARC | Fees: 716.80 CC
[Fri Jan 16 13:50:54 2026] RELAY_SYNC: 36005 Blocks | Depth: 5,400,750,000,000 ARC | Fees: 720.10 CC
[Fri Jan 16 13:51:04 2026] RELAY_SYNC: 36168 Blocks | Depth: 5,425,200,000,000 ARC | Fees: 723.36 CC
[Fri Jan 16 13:51:14 2026] RELAY_SYNC: 36332 Blocks | Depth: 5,449,800,000,000 ARC | Fees: 726.64 CC
[Fri Jan 16 13:51:24 2026] RELAY_SYNC: 36497 Blocks | Depth: 5,474,550,000,000 ARC | Fees: 729.94 CC
[Fri Jan 16 13:51:34 2026] RELAY_SYNC: 36661 Blocks | Depth: 5,499,150,000,000 ARC | Fees: 733.22 CC
[Fri Jan 16 13:51:44 2026] RELAY_SYNC: 36825 Blocks | Depth: 5,523,750,000,000 ARC | Fees: 736.50 CC
[Fri Jan 16 13:51:54 2026] RELAY_SYNC: 36989 Blocks | Depth: 5,548,350,000,000 ARC | Fees: 739.78 CC
[Fri Jan 16 13:52:04 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:52:14 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:52:24 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:52:34 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:52:44 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:52:54 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:53:04 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:53:14 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:53:24 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:53:34 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:53:44 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:53:54 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:54:04 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:54:14 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:54:24 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:54:34 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:54:44 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
[Fri Jan 16 13:54:54 2026] RELAY_SYNC: 37048 Blocks | Depth: 5,557,200,000,000 ARC | Fees: 740.96 CC
